PenerimaanID	CalonMahasiswaID	Tahun	AsalSekolahID	JalurID	MitraID	ProdiID_Diterima	ProdiID_Pil1	ProdiID_Pil2	StatusID	NomorPendaftaran	NomorUTBK	RataRataRapor	RataRataUTBK	RataRataSMITS	PoinPrestasi	NilaiAkhir	NRP
1	10001	2021	65	1	0	2	2	9	1	3821376	0	91	0	0	44	555.75	2026210689
2	10002	2021	195	1	0	19	19	32	1	3821202	0	91	0	0	61	704.55	2026211883
3	10003	2021	92	1	0	0	36	5	3	3821047	0	86	0	0	67	882.5	0
4	10004	2021	104	1	0	9	9	35	3	3821376	0	96	0	0	55	663.35	0
5	10005	2021	164	1	0	32	32	5	1	3821225	0	95	0	0	41	855.15	2026210357
6	10006	2021	131	1	0	19	19	17	1	3821071	0	87	0	0	51	802.85	2026211221
7	10007	2021	8	1	0	12	12	6	1	3821403	0	95	0	0	44	522.35	2026211762
8	10008	2021	59	1	0	24	24	13	1	3821337	0	96	0	0	66	679.95	2026210708
9	10009	2021	3	1	0	28	28	14	3	3821032	0	92	0	0	57	549.65	0
10	10010	2021	67	1	0	30	30	24	3	3821225	0	96	0	0	66	530.9	0
11	10011	2021	67	1	0	30	30	6	3	3821183	0	90	0	0	46	659.8	0
12	10012	2021	65	1	0	24	24	7	3	3821353	0	89	0	0	63	667.2	0
13	10013	2021	128	1	0	26	26	32	3	3821295	0	88	0	0	45	699.5	0
14	10014	2021	13	1	0	0	4	4	1	3821047	0	90	0	0	65	661.25	2026210865
15	10015	2021	129	1	0	14	14	15	1	3821314	0	91	0	0	70	564.45	2026210214
16	10016	2021	94	1	0	27	27	16	3	3821063	0	96	0	0	70	760.35	0
17	10017	2021	105	1	0	20	20	4	3	3822027	0	88	0	0	43	947	0
18	10018	2021	196	1	0	23	23	33	3	3821256	0	90	0	0	63	894.25	0
19	10019	2021	120	1	0	16	16	38	3	3821016	0	87	0	0	62	624.15	0
20	10020	2021	146	1	0	31	31	22	1	3821392	0	96	0	0	46	926.15	2026210203
21	10021	2021	20	1	0	0	6	21	3	3821047	0	91	0	0	58	852.3	0
22	10022	2021	18	1	0	8	8	41	3	3821071	0	92	0	0	44	746.7	0
23	10023	2021	146	1	0	22	22	20	3	3821086	0	88	0	0	44	916.85	0
24	10024	2021	120	1	0	6	6	38	3	3821063	0	92	0	0	62	630.25	0
25	10025	2021	21	1	0	0	22	13	1	3821113	0	96	0	0	44	882.95	2026211989
26	10026	2021	78	1	0	0	24	4	1	3821136	0	87	0	0	62	614.5	2026210998
27	10027	2021	50	1	0	39	39	17	1	3821113	0	91	0	0	54	913.7	2026211686
28	10028	2021	116	1	0	31	31	30	3	3821144	0	94	0	0	67	622.8	0
29	10029	2021	15	1	0	38	38	3	3	3821121	0	93	0	0	43	764.5	0
30	10030	2021	26	1	0	26	26	12	3	3821202	0	95	0	0	45	779.45	0
31	10031	2021	82	1	0	24	24	39	3	3821086	0	93	0	0	55	789.95	0
32	10032	2021	171	1	0	13	13	25	3	3821105	0	87	0	0	45	851.95	0
33	10033	2021	57	1	0	32	32	14	1	3821167	0	97	0	0	61	736.65	2026211155
34	10034	2021	61	1	0	8	8	20	1	3821202	0	96	0	0	59	796.1	2026211798
35	10035	2021	18	1	0	24	24	14	1	3821086	0	88	0	0	42	530.2	2026210592
36	10036	2021	21	1	0	0	10	8	1	3822012	0	92	0	0	67	672.65	2026210115
37	10037	2021	200	1	0	25	25	12	3	3821384	0	98	0	0	68	951.4	0
38	10038	2021	34	1	0	19	19	19	3	3821225	0	89	0	0	40	563.8	0
39	10039	2021	185	1	0	0	5	14	3	3821055	0	92	0	0	55	945.65	0
40	10040	2021	79	1	0	12	12	38	3	3821047	0	98	0	0	50	681.75	0
41	10041	2021	5	1	0	30	30	21	3	3821306	0	97	0	0	44	687.4	0
42	10042	2021	126	1	0	34	34	40	3	3821306	0	92	0	0	63	941.15	0
43	10043	2021	151	1	0	30	30	26	3	3821121	0	95	0	0	55	846.25	0
44	10044	2021	106	1	0	7	7	15	3	3821272	0	89	0	0	47	601.25	0
45	10045	2021	35	1	0	15	15	31	3	3822027	0	92	0	0	41	599.7	0
46	10046	2021	114	1	0	31	31	35	3	3821063	0	96	0	0	69	646.15	0
47	10047	2021	60	1	0	39	39	6	1	3821337	0	89	0	0	55	838.05	2026210894
48	10048	2021	139	1	0	40	40	28	2	3821032	0	91	0	0	68	734.75	2026211539
49	10049	2021	121	1	0	39	39	14	2	3821175	0	95	0	0	62	557.95	2026211653
50	10050	2021	25	1	0	0	37	36	1	3821113	0	88	0	0	57	820.7	2026210485
51	10051	2021	68	1	0	39	39	14	1	3821361	0	93	0	0	58	807	2026210619
52	10052	2021	130	1	0	8	8	35	3	3821191	0	91	0	0	41	558.75	0
53	10053	2021	115	1	0	0	34	17	3	3821136	0	98	0	0	63	745.9	0
54	10054	2021	135	1	0	0	16	1	3	3821063	0	86	0	0	65	743.1	0
55	10055	2021	121	1	0	33	33	23	3	3821094	0	97	0	0	40	617.5	0
56	10056	2021	87	1	0	37	37	40	1	3822027	0	92	0	0	44	727.2	2026211033
57	10057	2021	31	1	0	28	28	19	1	3821183	0	86	0	0	64	588.05	2026211762
58	10058	2021	170	1	0	29	29	11	1	3821183	0	98	0	0	45	920.85	2026211253
59	10059	2021	23	1	0	38	38	10	1	3821225	0	98	0	0	51	700.95	2026211098
60	10060	2021	61	1	0	20	20	29	1	3821183	0	88	0	0	60	581.75	2026210020
61	10061	2021	75	1	0	15	15	7	3	3821376	0	98	0	0	46	927.65	0
62	10062	2021	106	1	0	9	9	30	3	3821306	0	89	0	0	64	722.05	0
63	10063	2021	21	1	0	2	2	40	3	3821353	0	92	0	0	67	860.35	0
64	10064	2021	49	1	0	39	39	10	3	3821055	0	96	0	0	51	710.8	0
65	10065	2021	169	1	0	26	26	1	3	3821295	0	94	0	0	69	559.95	0
66	10066	2021	168	1	0	30	30	13	2	3821094	0	93	0	0	42	601.9	2026210530
67	10067	2021	173	1	0	0	14	33	2	3821152	0	89	0	0	54	925.25	2026211683
68	10068	2021	178	1	0	35	35	14	1	3821191	0	94	0	0	60	739.2	2026211509
69	10069	2021	106	1	0	0	28	11	1	3821256	0	89	0	0	63	927.55	2026210224
70	10070	2021	28	1	0	0	28	17	3	3821306	0	96	0	0	60	652.25	0
71	10071	2021	52	1	0	17	17	37	3	3821063	0	95	0	0	53	591.85	0
72	10072	2021	123	1	0	0	24	11	3	3821032	0	86	0	0	43	542.65	0
73	10073	2021	37	1	0	33	33	25	3	3821167	0	89	0	0	43	762.15	0
74	10074	2021	194	1	0	40	40	30	1	3821144	0	97	0	0	45	614.1	2026210554
75	10075	2021	164	1	0	40	40	37	1	3821152	0	94	0	0	67	538.55	2026211635
76	10076	2021	111	1	0	4	4	41	3	3821392	0	91	0	0	44	578.25	0
77	10077	2021	67	1	0	41	41	20	3	3821202	0	95	0	0	47	541.6	0
78	10078	2021	15	1	0	0	6	38	3	3821024	0	88	0	0	66	578.25	0
79	10079	2021	112	1	0	7	7	37	3	3821071	0	94	0	0	52	640.5	0
80	10080	2021	95	1	0	12	12	13	3	3821376	0	88	0	0	67	743.05	0
81	10081	2021	170	1	0	0	11	25	3	3821086	0	91	0	0	43	609.4	0
82	10082	2021	123	1	0	0	10	41	3	3821144	0	95	0	0	70	700.5	0
83	10083	2021	166	1	0	40	40	6	3	3821105	0	95	0	0	63	832.9	0
84	10084	2021	22	1	0	14	14	9	3	3821337	0	92	0	0	68	648.3	0
85	10085	2021	185	1	0	13	13	29	3	3821152	0	96	0	0	49	934.05	0
86	10086	2021	17	1	0	4	4	6	3	3821191	0	92	0	0	54	605.85	0
87	10087	2021	69	1	0	40	40	6	3	3821071	0	93	0	0	41	576.15	0
88	10088	2021	62	1	0	31	31	35	3	3821183	0	86	0	0	48	755.75	0
89	10089	2021	147	1	0	11	11	16	3	3821086	0	95	0	0	43	855.7	0
90	10090	2021	27	1	0	11	11	13	3	3821105	0	92	0	0	43	812.85	0
91	10091	2021	190	1	0	31	31	8	3	3821094	0	98	0	0	64	786.55	0
92	10092	2021	122	1	0	28	28	16	3	3821063	0	87	0	0	41	548.25	0
93	10093	2021	27	1	0	0	31	14	3	3821136	0	98	0	0	68	921.15	0
94	10094	2021	197	1	0	17	17	41	3	3821121	0	86	0	0	53	531.25	0
95	10095	2021	15	1	0	23	23	41	3	3821086	0	86	0	0	62	640.7	0
96	10096	2021	25	1	0	11	11	10	3	3821032	0	87	0	0	63	636.55	0
97	10097	2021	48	1	0	23	23	21	3	3821144	0	88	0	0	59	567.35	0
98	10098	2021	83	1	0	7	7	6	3	3821175	0	90	0	0	54	613.25	0
99	10099	2021	176	1	0	38	38	3	3	3821063	0	98	0	0	42	924.35	0
100	10100	2021	170	1	0	14	14	2	3	3821024	0	91	0	0	57	766.95	0
101	10101	2021	20	1	0	23	23	18	3	3821217	0	86	0	0	68	820.7	0
102	10102	2021	69	1	0	26	26	38	3	3821384	0	97	0	0	69	818.15	0
103	10103	2021	156	1	0	12	12	28	3	3822027	0	93	0	0	46	698.65	0
104	10104	2021	174	1	0	1	1	20	3	3821055	0	96	0	0	47	831.25	0
105	10105	2021	25	1	0	31	31	7	3	3821241	0	96	0	0	52	677.25	0
106	10106	2021	54	1	0	37	37	41	3	3821217	0	98	0	0	40	887.3	0
107	10107	2021	68	1	0	22	22	14	3	3821167	0	90	0	0	60	918.25	0
108	10108	2021	69	1	0	19	19	9	1	3821295	0	97	0	0	42	614.95	2026210547
109	10109	2021	193	1	0	37	37	37	1	3821094	0	92	0	0	60	695.9	2026211540
110	10110	2021	196	1	0	29	29	23	1	3821113	0	88	0	0	64	930.1	2026211299
111	10111	2021	101	1	0	7	7	35	3	3821183	0	91	0	0	47	633.3	0
112	10112	2021	68	1	0	12	12	37	3	3821136	0	93	0	0	60	619.3	0
113	10113	2021	78	1	0	33	33	6	3	3821272	0	87	0	0	50	786.9	0
114	10114	2021	4	1	0	34	34	32	3	3822012	0	89	0	0	46	704.2	0
115	10115	2021	175	1	0	20	20	27	3	3821016	0	96	0	0	64	915.8	0
116	10116	2021	9	1	0	15	15	10	3	3821152	0	87	0	0	66	835.05	0
117	10117	2021	117	1	0	35	35	37	3	3821287	0	91	0	0	61	945.55	0
118	10118	2021	175	1	0	28	28	26	3	3821152	0	87	0	0	57	868.55	0
119	10119	2021	102	1	0	0	24	1	3	3821024	0	97	0	0	48	779.2	0
120	10120	2021	78	1	0	20	20	11	3	3821175	0	98	0	0	40	828.75	0
